Unnamed: 0,Best,Brussel,Luxumburg,Month
Part 1,7,9,10,1
Part 2,3,3,5,1
Part 3,10,3,6,1
Part 4,8,10,2,1
Part 5,4,5,9,1
Part 6,5,10,8,1
Part 7,6,5,2,1
Part 8,7,9,1,1
Part 9,2,4,9,1
Part 10,9,6,8,1
Part 11,1,10,8,1
Part 12,10,9,2,1
Part 13,1,8,5,1
Part 14,2,8,3,1
Part 15,7,5,1,1
Part 16,4,6,7,1
Part 17,2,7,8,1
Part 18,5,8,1,1
Part 19,2,7,7,1
Part 20,9,2,6,1
Part 21,8,1,2,1
Part 22,3,4,1,1
Part 23,7,2,6,1
Part 24,10,9,3,1
Part 25,5,6,4,1
Part 26,9,6,2,1
Part 27,5,8,6,1
Part 28,6,10,5,1
Part 29,3,9,3,1
Part 30,3,9,4,1
Part 31,10,4,3,1
Part 32,6,10,3,1
Part 33,9,5,2,1
Part 34,6,8,5,1
Part 35,6,7,5,1
Part 36,6,1,1,1
Part 37,2,2,4,1
Part 38,1,1,5,1
Part 39,1,5,9,1
Part 40,3,10,5,1
Part 41,6,8,1,1
Part 42,4,2,8,1
Part 43,8,5,7,1
Part 44,5,7,2,1
Part 45,8,6,10,1
Part 46,4,1,2,1
Part 47,2,4,8,1
Part 48,6,1,9,1
Part 49,9,8,3,1
Part 50,9,3,1,1
Part 51,4,5,4,1
Part 52,1,7,8,1
Part 53,1,10,3,1
Part 54,1,1,9,1
Part 55,7,4,6,1
Part 56,6,3,7,1
Part 57,1,7,3,1
Part 58,6,6,10,1
Part 59,6,5,1,1
Part 60,8,6,6,1
Part 61,4,1,8,1
Part 62,1,10,10,1
Part 63,2,3,5,1
Part 64,8,2,5,1
Part 65,9,10,4,1
Part 66,6,7,1,1
Part 67,3,6,6,1
Part 68,7,9,2,1
Part 69,9,8,8,1
Part 70,1,8,3,1
Part 71,4,9,3,1
Part 72,4,1,2,1
Part 73,5,7,10,1
Part 74,2,6,7,1
Part 75,6,3,1,1
Part 76,9,1,2,1
Part 77,4,6,9,1
Part 78,3,7,2,1
Part 79,3,1,9,1
Part 80,4,3,6,1
Part 81,5,3,9,1
Part 82,6,5,2,1
Part 83,4,4,5,1
Part 84,6,3,7,1
Part 85,3,1,5,1
Part 86,4,6,6,1
Part 87,10,10,9,1
Part 88,1,1,4,1
Part 89,8,10,8,1
Part 90,8,9,9,1
Part 91,6,10,2,1
Part 92,10,3,9,1
Part 93,6,10,9,1
Part 94,10,7,9,1
Part 95,1,6,2,1
Part 96,10,8,2,1
Part 97,5,9,2,1
Part 98,6,10,5,1
Part 99,7,8,2,1
Part 100,2,3,4,1
Part 101,9,10,1,1
Part 102,2,8,10,1
Part 103,8,5,9,1
Part 104,10,7,4,1
Part 105,2,10,4,1
Part 106,1,10,7,1
Part 107,2,8,8,1
Part 108,2,2,3,1
Part 109,3,2,8,1
Part 110,5,4,9,1
Part 111,8,2,9,1
Part 112,9,1,10,1
Part 113,4,5,10,1
Part 114,9,2,1,1
Part 115,3,4,7,1
Part 116,3,5,8,1
Part 117,2,10,5,1
Part 118,3,6,4,1
Part 119,5,5,7,1
Part 120,1,1,1,1
Part 121,9,1,7,1
Part 122,3,1,7,1
Part 123,8,9,10,1
Part 124,8,9,2,1
Part 125,8,8,7,1
Part 126,10,2,4,1
Part 127,6,10,10,1
Part 128,2,5,4,1
Part 129,10,1,10,1
Part 130,3,4,6,1
Part 131,3,5,9,1
Part 132,4,9,6,1
Part 133,1,2,9,1
Part 134,7,7,10,1
Part 135,4,9,8,1
Part 136,6,4,10,1
Part 137,4,6,6,1
Part 138,9,4,8,1
Part 139,10,9,6,1
Part 140,3,4,9,1
Part 141,9,6,7,1
Part 142,1,5,8,1
Part 143,5,2,2,1
Part 144,8,3,5,1
Part 145,2,5,7,1
Part 146,6,10,2,1
Part 147,4,1,1,1
Part 148,5,7,3,1
Part 149,9,9,9,1
Part 150,2,3,6,1
Part 151,4,8,2,1
Part 152,9,1,9,1
Part 153,3,5,9,1
Part 154,3,10,3,1
Part 155,10,10,4,1
Part 156,2,1,5,1
Part 157,8,8,9,1
Part 158,4,10,8,1
Part 159,5,3,4,1
Part 160,4,5,7,1
Part 161,9,9,10,1
Part 162,6,2,4,1
Part 163,3,8,10,1
Part 164,10,5,6,1
Part 165,7,7,8,1
Part 166,9,3,10,1
Part 167,10,10,8,1
Part 168,7,2,5,1
Part 169,7,5,6,1
Part 170,9,1,5,1
Part 171,7,6,3,1
Part 172,10,5,3,1
Part 173,7,5,9,1
Part 174,6,1,10,1
Part 175,5,3,6,1
Part 176,2,6,8,1
Part 177,4,9,8,1
Part 178,8,10,7,1
Part 179,8,6,3,1
Part 180,4,3,6,1
Part 181,3,5,8,1
Part 182,3,6,10,1
Part 183,7,9,8,1
Part 184,10,1,10,1
Part 185,10,6,3,1
Part 186,2,2,4,1
Part 187,9,7,3,1
Part 188,3,1,4,1
Part 189,2,2,6,1
Part 190,9,7,5,1
Part 191,1,10,6,1
Part 192,6,6,8,1
Part 193,4,3,6,1
Part 194,9,7,9,1
Part 195,4,8,4,1
Part 196,6,2,4,1
Part 197,4,5,7,1
Part 198,6,3,8,1
Part 199,1,8,5,1
Part 200,4,8,5,1
Part 201,6,5,9,1
Part 202,3,3,10,1
Part 203,9,3,5,1
Part 204,7,4,1,1
Part 205,9,3,1,1
Part 206,7,10,1,1
Part 207,8,2,5,1
Part 208,6,5,6,1
Part 209,3,2,3,1
Part 210,5,6,6,1
Part 211,5,4,4,1
Part 212,10,2,6,1
Part 213,10,7,9,1
Part 214,8,2,8,1
Part 215,7,5,10,1
Part 216,3,3,1,1
Part 217,3,3,9,1
Part 218,7,4,9,1
Part 219,9,4,6,1
Part 220,5,2,6,1
Part 221,8,9,2,1
Part 222,7,5,4,1
Part 223,2,9,4,1
Part 224,1,5,4,1
Part 225,3,8,5,1
Part 226,10,3,6,1
Part 227,2,2,5,1
Part 228,5,9,6,1
Part 229,2,7,5,1
Part 230,10,2,9,1
Part 231,1,4,1,1
Part 232,1,6,8,1
Part 233,5,3,3,1
Part 234,3,8,3,1
Part 235,2,4,4,1
Part 236,2,7,6,1
Part 237,1,4,3,1
Part 238,9,1,8,1
Part 239,1,2,9,1
Part 240,5,3,4,1
Part 241,8,2,8,1
Part 242,8,6,9,1
Part 243,1,4,9,1
Part 244,5,9,1,1
Part 245,4,4,4,1
Part 246,3,8,8,1
Part 247,3,1,9,1
Part 248,5,6,6,1
Part 249,2,7,10,1
Part 250,3,2,9,1
Part 251,7,10,5,1
Part 252,7,8,8,1
Part 253,6,5,8,1
Part 254,4,9,8,1
Part 255,8,3,7,1
Part 256,5,3,7,1
Part 257,2,10,5,1
Part 258,10,2,8,1
Part 259,4,3,9,1
Part 260,3,10,3,1
Part 261,3,9,3,1
Part 262,10,10,3,1
Part 263,10,7,7,1
Part 264,6,8,5,1
Part 265,2,2,10,1
Part 266,1,4,3,1
Part 267,1,3,9,1
Part 268,5,6,8,1
Part 269,6,3,3,1
Part 270,4,7,5,1
Part 271,5,8,1,1
Part 272,3,5,9,1
Part 273,3,7,5,1
Part 274,4,9,10,1
Part 275,7,10,7,1
Part 276,10,6,9,1
Part 277,10,6,1,1
Part 278,2,7,8,1
Part 279,5,1,4,1
Part 280,8,7,9,1
Part 281,10,9,8,1
Part 282,3,5,7,1
Part 283,2,4,3,1
Part 284,9,9,8,1
Part 285,1,3,6,1
Part 286,1,1,3,1
Part 287,10,8,3,1
Part 288,8,7,9,1
Part 289,8,10,10,1
Part 290,2,1,10,1
Part 291,8,9,8,1
Part 292,9,5,4,1
Part 293,3,6,2,1
Part 294,3,6,4,1
Part 295,9,10,9,1
Part 296,3,8,1,1
Part 297,1,8,3,1
Part 298,7,7,10,1
Part 299,2,10,2,1
Part 300,10,4,8,1
Part 301,6,1,8,1
Part 302,8,4,9,1
Part 303,3,4,7,1
Part 304,7,3,2,1
Part 305,6,8,4,1
Part 306,5,6,2,1
Part 307,5,2,4,1
Part 308,5,9,6,1
Part 309,9,5,8,1
Part 310,1,3,4,1
Part 311,7,5,4,1
Part 312,3,6,5,1
Part 313,3,5,6,1
Part 314,5,5,2,1
Part 315,1,5,8,1
Part 316,2,9,10,1
Part 317,2,3,4,1
Part 318,9,8,1,1
Part 319,4,9,2,1
Part 320,2,7,4,1
Part 321,8,8,1,1
Part 322,2,2,4,1
Part 323,7,5,6,1
Part 324,6,8,6,1
Part 325,1,8,9,1
Part 326,4,6,7,1
Part 327,8,6,1,1
Part 328,5,7,1,1
Part 329,2,7,8,1
Part 330,5,6,5,1
Part 331,9,4,8,1
Part 332,10,3,1,1
Part 333,10,8,6,1
Part 334,10,4,6,1
Part 335,8,6,6,1
Part 336,2,4,5,1
Part 337,7,7,10,1
Part 338,7,3,8,1
Part 339,9,9,5,1
Part 340,7,4,9,1
Part 341,3,2,5,1
Part 342,4,10,4,1
Part 343,6,10,8,1
Part 344,2,2,1,1
Part 345,1,1,2,1
Part 346,4,6,6,1
Part 347,5,8,8,1
Part 348,1,5,5,1
Part 349,8,7,4,1
Part 350,2,8,2,1
Part 351,5,5,4,1
Part 352,9,3,4,1
Part 353,9,8,7,1
Part 354,5,4,1,1
Part 355,1,2,3,1
Part 356,7,7,7,1
Part 357,1,9,9,1
Part 358,7,6,3,1
Part 359,3,2,9,1
Part 360,9,1,10,1
Part 361,3,7,5,1
Part 362,1,9,2,1
Part 363,7,1,2,1
Part 364,10,8,6,1
Part 365,3,10,1,1
Part 366,3,5,8,1
Part 367,7,3,7,1
Part 368,3,4,3,1
Part 369,1,4,8,1
Part 370,9,1,3,1
Part 371,4,10,4,1
Part 372,9,5,1,1
Part 373,7,2,8,1
Part 374,9,10,7,1
Part 375,5,10,4,1
Part 376,7,3,8,1
Part 377,6,5,7,1
Part 378,7,4,9,1
Part 379,4,6,2,1
Part 380,7,1,10,1
Part 381,5,6,1,1
Part 382,5,7,4,1
Part 383,9,10,8,1
Part 384,6,4,7,1
Part 385,3,3,5,1
Part 386,9,3,7,1
Part 387,1,4,1,1
Part 388,9,3,2,1
Part 389,7,8,3,1
Part 390,4,9,4,1
Part 391,2,9,9,1
Part 392,3,2,8,1
Part 393,8,7,4,1
Part 394,1,1,10,1
Part 395,6,4,5,1
Part 396,2,3,6,1
Part 397,4,2,8,1
Part 398,3,2,8,1
Part 399,7,1,2,1
Part 400,6,2,4,1
Part 401,1,9,4,1
Part 402,7,2,1,1
Part 403,1,7,8,1
Part 404,7,5,9,1
Part 405,10,7,5,1
Part 406,6,3,3,1
Part 407,2,4,2,1
Part 408,4,9,2,1
Part 409,6,7,8,1
Part 410,4,10,5,1
Part 411,10,7,10,1
Part 412,5,4,1,1
Part 413,7,6,3,1
Part 414,9,8,5,1
Part 415,7,7,2,1
Part 416,2,1,8,1
Part 417,5,9,4,1
Part 418,1,4,7,1
Part 419,9,10,10,1
Part 420,10,7,8,1
Part 421,5,8,9,1
Part 422,3,9,1,1
Part 423,7,10,2,1
Part 424,5,10,2,1
Part 425,8,10,8,1
Part 426,4,5,7,1
Part 427,4,1,4,1
Part 428,3,4,3,1
Part 429,9,7,7,1
Part 430,8,8,10,1
Part 431,1,3,9,1
Part 432,4,1,2,1
Part 433,1,7,10,1
Part 434,6,2,5,1
Part 435,10,1,5,1
Part 436,3,4,4,1
Part 437,3,5,1,1
Part 438,2,2,2,1
Part 439,6,7,6,1
Part 440,7,9,3,1
Part 441,6,3,5,1
Part 442,4,9,10,1
Part 443,1,1,2,1
Part 444,9,3,9,1
Part 445,6,1,6,1
Part 446,8,5,4,1
Part 447,8,6,10,1
Part 448,10,9,1,1
Part 449,1,3,5,1
Part 450,8,5,7,1
Part 451,6,5,2,1
Part 452,5,4,8,1
Part 453,5,9,2,1
Part 454,8,3,4,1
Part 455,4,10,7,1
Part 456,6,9,1,1
Part 457,2,10,8,1
Part 458,5,7,3,1
Part 459,2,10,2,1
Part 460,2,7,2,1
Part 461,8,10,9,1
Part 462,2,7,8,1
Part 463,10,7,5,1
Part 464,5,2,7,1
Part 465,6,8,4,1
Part 466,7,10,8,1
Part 467,7,10,7,1
Part 468,4,4,4,1
Part 469,9,1,10,1
Part 470,8,8,7,1
Part 471,7,1,6,1
Part 472,2,1,7,1
Part 473,8,9,10,1
Part 474,6,4,3,1
Part 475,6,4,1,1
Part 476,7,1,2,1
Part 477,7,7,1,1
Part 478,9,9,2,1
Part 479,7,1,10,1
Part 480,9,5,3,1
Part 481,8,1,4,1
Part 482,7,7,6,1
Part 483,4,4,1,1
Part 484,10,10,4,1
Part 485,8,3,1,1
Part 486,1,10,2,1
Part 487,3,10,8,1
Part 488,2,10,2,1
Part 489,2,1,4,1
Part 490,2,9,1,1
Part 491,4,1,5,1
Part 492,9,8,7,1
Part 493,7,2,5,1
Part 494,9,5,10,1
Part 495,1,10,2,1
Part 496,9,3,9,1
Part 497,8,2,8,1
Part 498,6,2,4,1
Part 499,4,10,5,1
Part 500,4,10,3,1
Part 501,6,7,4,1
Part 502,5,4,3,1
Part 503,3,9,2,1
Part 504,2,6,1,1
Part 505,5,8,8,1
Part 506,10,10,2,1
Part 507,10,5,3,1
Part 508,3,8,9,1
Part 509,6,10,1,1
Part 510,10,9,1,1
Part 511,6,3,5,1
Part 512,4,7,3,1
Part 513,6,6,4,1
Part 514,1,6,5,1
Part 515,10,8,4,1
Part 516,2,3,7,1
Part 517,3,3,1,1
Part 518,9,5,1,1
Part 519,8,9,4,1
Part 520,6,4,8,1
Part 521,9,6,9,1
Part 522,8,6,2,1
Part 523,1,4,6,1
Part 524,9,6,6,1
Part 525,5,9,9,1
Part 526,5,1,4,1
Part 527,5,9,6,1
Part 528,3,6,7,1
Part 529,6,7,6,1
Part 530,2,9,6,1
Part 531,3,1,8,1
Part 532,10,7,2,1
Part 533,9,3,4,1
Part 534,5,4,1,1
Part 535,8,8,3,1
Part 536,2,9,6,1
Part 537,9,2,5,1
Part 538,4,5,10,1
Part 539,5,10,9,1
Part 540,4,5,8,1
Part 541,7,7,4,1
Part 542,5,1,1,1
Part 543,8,4,8,1
Part 544,6,5,6,1
Part 545,4,3,5,1
Part 546,10,6,7,1
Part 547,1,2,10,1
Part 548,2,9,2,1
Part 549,5,7,1,1
Part 550,9,7,1,1
Part 551,7,3,5,1
Part 552,2,7,10,1
Part 553,7,1,5,1
Part 554,6,7,3,1
Part 555,6,3,9,1
Part 556,6,2,7,1
Part 557,7,9,4,1
Part 558,8,7,8,1
Part 559,5,10,1,1
Part 560,10,4,4,1
Part 561,9,2,9,1
Part 562,4,9,8,1
Part 563,10,4,1,1
Part 564,8,7,8,1
Part 565,1,9,3,1
Part 566,2,8,7,1
Part 567,3,10,5,1
Part 568,10,6,10,1
Part 569,9,5,2,1
Part 570,7,5,2,1
Part 571,8,10,3,1
Part 572,3,5,5,1
Part 573,6,5,9,1
Part 574,9,5,4,1
Part 575,5,2,7,1
Part 576,6,8,3,1
Part 577,5,4,4,1
Part 578,6,9,7,1
Part 579,9,6,10,1
Part 580,10,10,6,1
Part 581,2,8,8,1
Part 582,5,5,5,1
Part 583,5,1,2,1
Part 584,3,5,10,1
Part 585,4,3,4,1
Part 586,7,2,6,1
Part 587,5,4,1,1
Part 588,3,6,3,1
Part 589,8,3,7,1
Part 590,3,3,1,1
Part 591,10,4,7,1
Part 592,6,4,2,1
Part 593,6,10,7,1
Part 594,4,8,9,1
Part 595,6,2,10,1
